Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014,10,1,1,8,35,1.95,19.06,1.93
2014,10,1,1,8,36,1.95,17.85,1.9
2014,10,1,1,8,37,1.98,18.66,1.93
2014,10,1,1,8,38,2.1,18.66,1.93
2014,10,1,1,8,39,2.08,16.89,1.9
2014,10,1,1,8,40,1.95,18.74,1.9
2014,10,1,1,8,41,2.05,19.06,1.9
2014,10,1,1,8,42,2,18.9,1.9
2014,10,1,1,8,43,2.08,18.01,1.9
2014,10,1,1,8,45,1.93,18.66,1.9
2014,10,1,1,8,46,2.47,18.01,1.9
2014,10,1,1,8,47,2.13,18.9,1.9
2014,10,1,1,8,48,2.08,18.18,1.9
2014,10,1,1,8,49,1.98,18.74,1.9
2014,10,1,1,8,50,1.82,16.64,1.9
2014,10,1,1,8,51,1.95,19.3,1.9
2014,10,1,1,8,52,1.95,18.9,1.9
2014,10,1,1,8,53,2.08,18.34,1.9
2014,10,1,1,8,55,2.03,18.42,1.9
2014,10,1,1,8,56,1.95,18.74,1.87
2014,10,1,1,8,57,1.98,18.66,1.9
2014,10,1,1,8,58,2,18.98,1.87
2014,10,1,1,8,59,2.05,18.74,1.87
2014,10,1,1,9,0,2.03,19.06,1.87
2014,10,1,1,9,1,1.98,19.3,1.9
2014,10,1,1,9,2,2.08,18.82,1.87
2014,10,1,1,9,4,1.98,18.98,1.87
2014,10,1,1,9,5,1.6,17.05,1.9
2014,10,1,1,9,6,1.95,18.9,1.9
2014,10,1,1,9,7,1.93,19.38,1.87
2014,10,1,1,9,8,2,19.06,1.9
2014,10,1,1,9,9,2.13,18.66,1.87
2014,10,1,1,9,10,2,19.14,1.87
2014,10,1,1,9,11,2.13,16.73,1.87
2014,10,1,1,9,12,2.03,18.9,1.9
2014,10,1,1,9,13,2.15,17.53,1.87
2014,10,1,1,9,14,2.1,18.82,1.87
2014,10,1,1,9,16,2.13,17.93,1.9
2014,10,1,1,9,17,1.98,18.74,1.87
2014,10,1,1,9,18,2.03,18.98,1.9
2014,10,1,1,9,19,1.98,19.22,1.87
2014,10,1,1,9,20,2,19.14,1.87
2014,10,1,1,9,21,1.98,19.14,1.87
2014,10,1,1,9,22,2.1,17.05,1.87
2014,10,1,1,9,23,2.03,18.9,1.87
2014,10,1,1,9,24,2.65,18.18,1.83
2014,10,1,1,9,25,2,18.5,1.83
2014,10,1,1,9,26,1.98,19.06,1.87
2014,10,1,1,9,28,2.03,20.59,1.87
2014,10,1,1,9,29,2.13,18.42,1.87
2014,10,1,1,9,30,1.85,17.05,1.87
2014,10,1,1,9,31,2.13,18.5,1.87
2014,10,1,1,9,32,2.13,18.74,1.87
2014,10,1,1,9,33,1.77,17.21,1.83
2014,10,1,1,9,34,2,19.06,1.87
2014,10,1,1,9,35,2.1,16.4,1.83
2014,10,1,1,9,36,2.08,19.06,1.83
2014,10,1,1,9,37,2,19.38,1.87
2014,10,1,1,9,39,2.1,18.5,1.83
2014,10,1,1,9,40,2.13,16.97,1.83
2014,10,1,1,9,41,1.95,19.06,1.83
2014,10,1,1,9,42,1.87,18.98,1.83
2014,10,1,1,9,43,1.9,18.98,1.83
2014,10,1,1,9,44,2.03,18.42,1.83
2014,10,1,1,9,45,2.05,18.74,1.87
2014,10,1,1,9,46,2,18.98,1.83
2014,10,1,1,9,47,2.03,18.34,1.83
2014,10,1,1,9,48,1.93,18.98,1.83
2014,10,1,1,9,49,2.23,19.38,1.83
2014,10,1,1,9,51,1.9,19.3,1.83
2014,10,1,1,9,52,2.08,18.9,1.87
2014,10,1,1,9,53,2.15,17.37,1.8
2014,10,1,1,9,54,2.05,18.9,1.83
2014,10,1,1,9,55,2.6,17.77,1.83
2014,10,1,1,9,56,2.18,19.3,1.83
2014,10,1,1,9,57,2.13,16.73,1.83
2014,10,1,1,9,58,2.03,19.22,1.8
2014,10,1,1,9,59,2.13,17.13,1.8
2014,10,1,1,10,1,2.08,18.58,1.83
2014,10,1,1,10,2,2.03,18.26,1.83
2014,10,1,1,10,3,2.15,18.1,1.8
2014,10,1,1,10,4,2.03,19.06,1.8
2014,10,1,1,10,5,2.1,16.97,1.8
2014,10,1,1,10,6,2.13,18.34,1.83
2014,10,1,1,10,7,2,18.42,1.8
2014,10,1,1,10,8,2.05,19.47,1.83
2014,10,1,1,10,10,2.03,19.38,1.8
2014,10,1,1,10,11,2.05,18.34,1.8
2014,10,1,1,10,12,2,18.66,1.8
2014,10,1,1,10,13,2.13,19.38,1.83
2014,10,1,1,10,14,2.13,16.89,1.83
2014,10,1,1,10,15,2.13,18.74,1.83
2014,10,1,1,10,16,2.18,18.5,1.83
2014,10,1,1,10,17,2.03,19.63,1.8
2014,10,1,1,10,18,2.13,18.26,1.83
2014,10,1,1,10,19,2.1,18.42,1.83
2014,10,1,1,10,20,2.15,17.45,1.83
2014,10,1,1,10,22,2.13,18.26,1.83
2014,10,1,1,10,23,2.45,18.26,1.8
2014,10,1,1,10,24,2.15,17.21,1.8
2014,10,1,1,10,25,2.05,19.47,1.8
