Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 6, 44, 2.13, 18.74, 3.68
2014, 10, 1, 1, 6, 45, 2.10, 19.38, 3.61
2014, 10, 1, 1, 6, 46, 2.10, 20.19, 3.55
2014, 10, 1, 1, 6, 47, 2.20, 17.53, 3.48
2014, 10, 1, 1, 6, 48, 1.98, 19.22, 3.44
2014, 10, 1, 1, 6, 49, 2.13, 19.14, 3.38
2014, 10, 1, 1, 6, 50, 2.03, 18.50, 3.34
2014, 10, 1, 1, 6, 51, 2.08, 19.06, 3.28
2014, 10, 1, 1, 6, 53, 2.18, 18.26, 3.24
2014, 10, 1, 1, 6, 54, 2.10, 18.98, 3.18
2014, 10, 1, 1, 6, 55, 2.03, 19.06, 3.21
2014, 10, 1, 1, 6, 56, 1.98, 19.22, 3.14
2014, 10, 1, 1, 6, 57, 2.15, 17.05, 3.11
2014, 10, 1, 1, 6, 58, 1.93, 19.22, 3.07
2014, 10, 1, 1, 6, 59, 2.08, 17.21, 3.04
2014, 10, 1, 1, 7, 0, 1.95, 18.98, 3.01
2014, 10, 1, 1, 7, 1, 2.08, 18.82, 2.97
2014, 10, 1, 1, 7, 2, 2.03, 19.47, 2.97
2014, 10, 1, 1, 7, 3, 1.93, 19.14, 2.94
2014, 10, 1, 1, 7, 5, 2.03, 18.82, 2.94
2014, 10, 1, 1, 7, 6, 2.05, 18.90, 2.91
2014, 10, 1, 1, 7, 7, 2.00, 18.01, 2.87
2014, 10, 1, 1, 7, 8, 2.00, 19.22, 2.84
2014, 10, 1, 1, 7, 9, 2.05, 16.97, 2.81
2014, 10, 1, 1, 7, 10, 1.93, 18.34, 2.81
2014, 10, 1, 1, 7, 11, 1.90, 18.66, 2.81
2014, 10, 1, 1, 7, 12, 2.05, 17.05, 2.77
2014, 10, 1, 1, 7, 13, 1.93, 18.98, 2.74
2014, 10, 1, 1, 7, 14, 2.03, 16.73, 2.74
2014, 10, 1, 1, 7, 15, 1.90, 19.38, 2.70
2014, 10, 1, 1, 7, 17, 1.95, 18.98, 2.70
2014, 10, 1, 1, 7, 18, 2.00, 19.22, 2.70
2014, 10, 1, 1, 7, 19, 1.93, 19.47, 2.64
2014, 10, 1, 1, 7, 20, 1.90, 19.55, 2.64
2014, 10, 1, 1, 7, 21, 1.93, 19.14, 2.60
